Test potential (mV),Aslanidi 2009 atrial,Test potential (mV),Aslanidi 2009 Purkinje,Test potential (mV),beeler_1977_feb,Test potential (mV),Bernus 2002,Test potential (mV),Bondarenko 2004 apical,Test potential (mV),Cabo 2003,Test potential (mV),Corrias_2011,Test potential (mV),cortassa 2006,Test potential (mV),Courtemanche 1998,Test potential (mV),Decker 2009,Test potential (mV),Demir_Clark_1999,Test potential (mV),DiFrancesco Noble 1985,Test potential (mV),Dokos_1996,Test potential (mV),Faber_2007,Test potential (mV),Fox_2002,Test potential (mV),Grandi 2010 epi,Test potential (mV),Hilgemann_noble_1987,Test potential (mV),Hund_feb_2004,Test potential (mV),Inada_2009,Test potential (mV),Iyer 2004,Test potential (mV),Jafri_1998,Test potential (mV),Kurata_2002,Test potential (mV),Li 2010,Test potential (mV),Li 2011,Test potential (mV),Lindblad_1996,Test potential (mV),Livshitz_2007,Test potential (mV),LOvell_2004,Test potential (mV),Luo Rudy 1994,Test potential (mV),Mahajan 2008,Test potential (mV),Matsuoka 2003,Test potential (mV),McAlliater_1975,Test potential (mV),Noble 1991,Test potential (mV),Noble 1998,Test potential (mV),Nygren_1998,Test potential (mV),O'Hara-Rudy 2011 (epi),Test potential (mV),Paci_atrial,Test potential (mV),Pandit_2001,Test potential (mV),Priebe 1998,Test potential (mV),Ramirez_2000,Test potential (mV),Shannon 2004,Test potential (mV),ten Tusscher 2004 (epi),Test potential (mV),ten Tusscher 2006 (epi),Test potential (mV),Tomek_2019,Test potential (mV),varela_2016_ra,Test potential (mV),wilders_1991,Test potential (mV),Winslow 1999,Test potential (mV),Zhang_2000,Test potential (mV),Bartolucci 2020,Test potential (mV),Pohl 2016 (ICaL),Test potential (mV),Trovato 2020,Inactivation: Test potential (mV),Grandi 2011,Inactivation: Test potential (mV),Heijman 2011,Inactivation: Test potential (mV),Fink_2008,Inactivation: Test potential (mV),Kernik 2019 (ICaL),Inactivation: Test potential (mV),Koivumaki 2011,Inactivation: Test potential (mV),Michailova 2005,Inactivation: Test potential (mV),Nordin 1993 (ICaL),Inactivation: Test potential (mV),Pasek 2006,Inactivation: Test potential (mV),Sato 2006 (ICaL),Inactivation: Test potential (mV),Zeng 1995 (ICaL),Inactivation: Test potential (mV),Hund 2008,Inactivation: Test potential (mV),Liu 1993
-70.01,0.999941,-70.01,0.840339,-70.01,0.999932,-70.01,0.999645,-70.01,1,-70.01,0.999423,-70.01,0.999402,-70.01,0.938325,-70.01,0.998558,-70.01,0.999953,-70.01,0.999704,-70.01,0.999973,-70.01,0.999795,-70.01,0.999914,-70.01,1,-70.01,0.983348,-70.01,0.999994,-70.01,0.845526,-70.01,0.998567,-70.01,0.996425,-70.01,0.938131,-70.01,0.999673,-70.01,0.992708,-70.01,0.674318,-70.01,0.999998,-70.01,0.997645,-70.01,0.929704,-70.01,0.985904,-70.01,0.945169,-70.01,0.995124,-70.01,0.886372,-70.01,0.999973,-70.01,0.999993,-70.01,0.997691,-70.01,0.999999,-70.01,0.999963,-70.01,0.999685,-70.01,0.999704,-70.01,0.999538,-70.01,0.999736,-70.01,0.99926,-70.01,0.995227,-70.01,0.99999,-70.01,0.997696,-70.01,0.999612,-70.01,0.999997,-70.01,0.993499,-70.01,0.999999,-70.01,0.997747,-70.01,0.999993,-70.01,0.997236,-70.01,0.999816,-70.01,0.994696,-70.01,0.994666,-70.01,0.995402,-70.01,0.999997,-70.01,0.999755,-70.01,0.999686,-70.01,0.984934,-70.01,0.985904,-70.01,0.831794,-70.01,0.999969
-68.01,0.999943,-68.01,0.80563,-68.01,0.999978,-68.01,0.999498,-68.01,1,-68.01,0.999215,-68.01,0.999095,-68.01,0.920778,-68.01,0.998041,-68.01,0.999955,-68.01,0.999556,-68.01,0.999953,-68.01,0.99971,-68.01,0.999867,-68.01,1,-68.01,0.978707,-68.01,0.999989,-68.01,0.811804,-68.01,0.99801,-68.01,0.995293,-68.01,0.920529,-68.01,0.999509,-68.01,0.99039,-68.01,0.635714,-68.01,0.999995,-68.01,0.993226,-68.01,0.911054,-68.01,0.981785,-68.01,0.933271,-68.01,0.993082,-68.01,0.861959,-68.01,0.999953,-68.01,0.999989,-68.01,0.996901,-68.01,0.999998,-68.01,0.999937,-68.01,0.999541,-68.01,0.999581,-68.01,0.999351,-68.01,0.999848,-68.01,0.999001,-68.01,0.993566,-68.01,0.99999,-68.01,0.996781,-68.01,0.999452,-68.01,0.999995,-68.01,0.990272,-68.01,0.999998,-68.01,0.996969,-68.01,0.999992,-68.01,0.996214,-68.01,0.999816,-68.01,0.99285,-68.01,0.99254,-68.01,0.993825,-68.01,0.999995,-68.01,0.999541,-68.01,0.999542,-68.01,0.980648,-68.01,0.981785,-68.01,0.795815,-68.01,0.99998
-66.01,0.999946,-66.01,0.767774,-66.01,1,-66.01,0.999293,-66.01,1,-66.01,0.998936,-66.01,0.998631,-66.01,0.899537,-66.01,0.997348,-66.01,0.999958,-66.01,0.999335,-66.01,0.999918,-66.01,0.999592,-66.01,0.999794,-66.01,0.999999,-66.01,0.972957,-66.01,0.99998,-66.01,0.775033,-66.01,0.997246,-66.01,0.993831,-66.01,0.899221,-66.01,0.999265,-66.01,0.987452,-66.01,0.598224,-66.01,0.999991,-66.01,0.979068,-66.01,0.888424,-66.01,0.976616,-66.01,0.919517,-66.01,0.990206,-66.01,0.834009,-66.01,0.999917,-66.01,0.99998,-66.01,0.995876,-66.01,0.999997,-66.01,0.999895,-66.01,0.999331,-66.01,0.999407,-66.01,0.999091,-66.01,0.999943,-66.01,0.998656,-66.01,0.991366,-66.01,0.999988,-66.01,0.995516,-66.01,0.999227,-66.01,0.999992,-66.01,0.985497,-66.01,0.999997,-66.01,0.99594,-66.01,0.999989,-66.01,0.994845,-66.01,0.999816,-66.01,0.990406,-66.01,0.989607,-66.01,0.991762,-66.01,0.999992,-66.01,0.999155,-66.01,0.999333,-66.01,0.975292,-66.01,0.976616,-66.01,0.756465,-66.01,0.999992
-64.01,0.99995,-64.01,0.727481,-64.01,0.99998,-64.01,0.999006,-64.01,1,-64.01,0.998561,-64.01,0.997935,-64.01,0.874298,-64.01,0.996417,-64.01,0.999961,-64.01,0.999006,-64.01,0.999856,-64.01,0.999425,-64.01,0.999682,-64.01,0.999998,-64.01,0.965852,-64.01,0.999965,-64.01,0.735919,-64.01,0.996201,-64.01,0.991949,-64.01,0.873904,-64.01,0.9989,-64.01,0.983735,-64.01,0.562261,-64.01,0.999982,-64.01,0.938872,-64.01,0.861188,-64.01,0.970152,-64.01,0.903748,-64.01,0.986151,-64.01,0.802311,-64.01,0.999854,-64.01,0.999965,-64.01,0.994591,-64.01,0.999995,-64.01,0.999825,-64.01,0.999029,-64.01,0.999164,-64.01,0.998727,-64.01,1,-64.01,0.998198,-64.01,0.988459,-64.01,0.999987,-64.01,0.993764,-64.01,0.998914,-64.01,0.999988,-64.01,0.978459,-64.01,0.999994,-64.01,0.994579,-64.01,0.999985,-64.01,0.993017,-64.01,0.999816,-64.01,0.987176,-64.01,0.98557,-64.01,0.989107,-64.01,0.999988,-64.01,0.99846,-64.01,0.999031,-64.01,0.968618,-64.01,0.970152,-64.01,0.714409,-64.01,1
-62.01,0.999955,-62.01,0.685605,-62.01,0.999886,-62.01,0.998604,-62.01,1,-62.01,0.998059,-62.01,0.996899,-62.01,0.844992,-62.01,0.995169,-62.01,0.999964,-62.01,0.998515,-62.01,0.999745,-62.01,0.99919,-62.01,0.999511,-62.01,0.999994,-62.01,0.957108,-62.01,0.999939,-62.01,0.695326,-62.01,0.994774,-62.01,0.989526,-62.01,0.844467,-62.01,0.998356,-62.01,0.979042,-62.01,0.528124,-62.01,0.999966,-62.01,0.854375,-62.01,0.828779,-62.01,0.962096,-62.01,0.885865,-62.01,0.980425,-62.01,0.766748,-62.01,0.999742,-62.01,0.999938,-62.01,0.993078,-62.01,0.999992,-62.01,0.999708,-62.01,0.998591,-62.01,0.998822,-62.01,0.998218,-62.01,0.999977,-62.01,0.99759,-62.01,0.984628,-62.01,0.999983,-62.01,0.991339,-62.01,0.998477,-62.01,0.999982,-62.01,0.968145,-62.01,0.99999,-62.01,0.99278,-62.01,0.999977,-62.01,0.990582,-62.01,0.999815,-62.01,0.982915,-62.01,0.980025,-62.01,0.985791,-62.01,0.999982,-62.01,0.997218,-62.01,0.998595,-62.01,0.960327,-62.01,0.962096,-62.01,0.670443,-62.01,0.999993
-60.01,0.99996,-60.01,0.643037,-60.01,0.999673,-60.01,0.998043,-60.01,1,-60.01,0.997386,-60.01,0.995368,-60.01,0.811659,-60.01,0.993492,-60.01,0.999968,-60.01,0.997782,-60.01,0.999548,-60.01,0.998856,-60.01,0.999251,-60.01,0.999988,-60.01,0.946393,-60.01,0.999891,-60.01,0.654157,-60.01,0.992844,-60.01,0.986415,-60.01,0.811071,-60.01,0.997547,-60.01,0.973134,-60.01,0.495986,-60.01,0.999938,-60.01,0.742585,-60.01,0.790543,-60.01,0.952101,-60.01,0.86587,-60.01,0.972323,-60.01,0.727342,-60.01,0.999542,-60.01,0.99989,-60.01,0.991447,-60.01,0.999987,-60.01,0.999515,-60.01,0.997959,-60.01,0.998342,-60.01,0.997507,-60.01,0.999803,-60.01,0.996785,-60.01,0.979598,-60.01,0.999978,-60.01,0.987983,-60.01,0.997866,-60.01,0.999973,-60.01,0.953157,-60.01,0.999982,-60.01,0.990406,-60.01,0.999964,-60.01,0.987346,-60.01,0.999815,-60.01,0.97731,-60.01,0.972437,-60.01,0.981785,-60.01,0.999973,-60.01,0.995007,-60.01,0.997964,-60.01,0.950067,-60.01,0.952101,-60.01,0.625432,-60.01,0.999945
-58.01,0.999968,-58.01,0.600638,-58.01,0.999269,-58.01,0.997258,-58.01,1,-58.01,0.996485,-58.01,0.993129,-58.01,0.774898,-58.01,0.99124,-58.01,0.999974,-58.01,0.996692,-58.01,0.999194,-58.01,0.998383,-58.01,0.998856,-58.01,0.999977,-58.01,0.933332,-58.01,0.999806,-58.01,0.613292,-58.01,0.990293,-58.01,0.982426,-58.01,0.774197,-58.01,0.996341,-58.01,0.965724,-58.01,0.46591,-58.01,0.999887,-58.01,0.646338,-58.01,0.746254,-58.01,0.939765,-58.01,0.843914,-58.01,0.960839,-58.01,0.684287,-58.01,0.999183,-58.01,0.999804,-58.01,0.989817,-58.01,0.999977,-58.01,0.999194,-58.01,0.997044,-58.01,0.99767,-58.01,0.996511,-58.01,0.999351,-58.01,0.995722,-58.01,0.973027,-58.01,0.999968,-58.01,0.983344,-58.01,0.997013,-58.01,0.999959,-58.01,0.931646,-58.01,0.99997,-58.01,0.987277,-58.01,0.999942,-58.01,0.983057,-58.01,0.999815,-58.01,0.969967,-58.01,0.962096,-58.01,0.977033,-58.01,0.999959,-58.01,0.991088,-58.01,0.997052,-58.01,0.937431,-58.01,0.939765,-58.01,0.580233,-58.01,0.999805
-56.01,0.999976,-56.01,0.559156,-56.01,0.998569,-56.01,0.99616,-56.01,1,-56.01,0.995278,-56.01,0.989883,-56.01,0.735447,-56.01,0.988218,-56.01,0.999979,-56.01,0.99507,-56.01,0.998553,-56.01,0.997709,-56.01,0.998262,-56.01,0.999958,-56.01,0.917511,-56.01,0.999652,-56.01,0.573508,-56.01,0.987027,-56.01,0.977326,-56.01,0.734627,-56.01,0.994548,-56.01,0.95647,-56.01,0.437825,-56.01,0.999795,-56.01,0.57842,-56.01,0.695813,-56.01,0.924636,-56.01,0.820353,-56.01,0.944537,-56.01,0.637987,-56.01,0.998536,-56.01,0.999648,-56.01,0.988233,-56.01,0.999961,-56.01,0.998661,-56.01,0.995724,-56.01,0.996728,-56.01,0.995117,-56.01,0.998401,-56.01,0.994332,-56.01,0.964512,-56.01,0.999952,-56.01,0.97695,-56.01,0.995826,-56.01,0.999938,-56.01,0.901313,-56.01,0.999948,-56.01,0.98316,-56.01,0.999903,-56.01,0.977391,-56.01,0.999814,-56.01,0.960392,-56.01,0.948088,-56.01,0.971352,-56.01,0.999938,-56.01,0.984206,-56.01,0.995736,-56.01,0.921961,-56.01,0.924636,-56.01,0.535629,-56.01,0.999465
-54.01,0.999986,-54.01,0.519193,-54.01,0.997413,-54.01,0.994628,-54.01,0.999999,-54.01,0.993662,-54.01,0.985225,-54.01,0.694304,-54.01,0.984168,-54.01,0.999986,-54.01,0.992661,-54.01,0.99739,-54.01,0.996745,-54.01,0.997371,-54.01,0.999926,-54.01,0.898493,-54.01,0.999372,-54.01,0.535431,-54.01,0.982928,-54.01,0.970828,-54.01,0.69336,-54.01,0.991887,-54.01,0.944975,-54.01,0.411515,-54.01,0.999631,-54.01,0.529033,-54.01,0.639588,-54.01,0.906223,-54.01,0.795783,-54.01,0.9214,-54.01,0.589072,-54.01,0.997362,-54.01,0.999365,-54.01,0.986639,-54.01,0.999933,-54.01,0.997778,-54.01,0.993822,-54.01,0.995408,-54.01,0.993164,-54.01,0.996567,-54.01,0.992545,-54.01,0.953607,-54.01,0.999924,-54.01,0.968171,-54.01,0.994175,-54.01,0.999906,-54.01,0.859585,-54.01,0.99991,-54.01,0.977756,-54.01,0.999837,-54.01,0.969935,-54.01,0.999812,-54.01,0.947987,-54.01,0.929261,-54.01,0.964393,-54.01,0.999906,-54.01,0.972317,-54.01,0.99384,-54.01,0.90316,-54.01,0.906223,-54.01,0.492283,-54.01,0.99871
-52.01,0.999995,-52.01,0.481157,-52.01,0.995567,-52.01,0.992491,-52.01,0.999997,-52.01,0.991503,-52.01,0.978595,-52.01,0.652539,-52.01,0.978749,-52.01,0.999993,-52.01,0.98909,-52.01,0.995264,-52.01,0.995359,-52.01,0.996043,-52.01,0.999874,-52.01,0.875836,-52.01,0.998859,-52.01,0.49949,-52.01,0.977757,-52.01,0.962584,-52.01,0.651471,-52.01,0.987956,-52.01,0.930791,-52.01,0.38656,-52.01,0.999339,-52.01,0.489109,-52.01,0.578486,-52.01,0.884016,-52.01,0.771042,-52.01,0.888699,-52.01,0.538407,-52.01,0.995218,-52.01,0.998847,-52.01,0.984898,-52.01,0.999885,-52.01,0.996315,-52.01,0.991094,-52.01,0.993561,-52.01,0.990431,-52.01,0.993187,-52.01,0.990322,-52.01,0.939889,-52.01,0.999876,-52.01,0.956186,-52.01,0.991882,-52.01,0.999858,-52.01,0.804101,-52.01,0.999846,-52.01,0.970685,-52.01,0.999723,-52.01,0.960171,-52.01,0.999808,-52.01,0.932055,-52.01,0.904217,-52.01,0.955655,-52.01,0.999858,-52.01,0.952336,-52.01,0.991119,-52.01,0.88051,-52.01,0.884016,-52.01,0.450725,-52.01,0.997122
-50.01,1,-50.01,0.445252,-50.01,0.992687,-50.01,0.989512,-50.01,0.999991,-50.01,0.98862,-50.01,0.969235,-50.01,0.611119,-50.01,0.971522,-50.01,0.999998,-50.01,0.983814,-50.01,0.991365,-50.01,0.993358,-50.01,0.994079,-50.01,0.999789,-50.01,0.849128,-50.01,0.997914,-50.01,0.465927,-50.01,0.971132,-50.01,0.952179,-50.01,0.609932,-50.01,0.982201,-50.01,0.913421,-50.01,0.362234,-50.01,0.998818,-50.01,0.454304,-50.01,0.514017,-50.01,0.857526,-50.01,0.747129,-50.01,0.842984,-50.01,0.487051,-50.01,0.99129,-50.01,0.997894,-50.01,0.982826,-50.01,0.999803,-50.01,0.993895,-50.01,0.987199,-50.01,0.990981,-50.01,0.986615,-50.01,0.987136,-50.01,0.987684,-50.01,0.923102,-50.01,0.999794,-50.01,0.939965,-50.01,0.988706,-50.01,0.999786,-50.01,0.733564,-50.01,0.999735,-50.01,0.961472,-50.01,0.999528,-50.01,0.947464,-50.01,0.999801,-50.01,0.911826,-50.01,0.871362,-50.01,0.944503,-50.01,0.999786,-50.01,0.920246,-50.01,0.987233,-50.01,0.853512,-50.01,0.857526,-50.01,0.411343,-50.01,0.993899
-48.01,0.999995,-48.01,0.411499,-48.01,0.988274,-48.01,0.985369,-48.01,0.999973,-48.01,0.984778,-48.01,0.956134,-48.01,0.570763,-48.01,0.961928,-48.01,1,-48.01,0.976057,-48.01,0.98421,-48.01,0.990455,-48.01,0.991199,-48.01,0.999654,-48.01,0.818037,-48.01,0.996164,-48.01,0.434751,-48.01,0.96254,-48.01,0.939137,-48.01,0.569464,-48.01,0.973909,-48.01,0.892339,-48.01,0.337367,-48.01,0.997883,-48.01,0.422843,-48.01,0.448256,-48.01,0.826334,-48.01,0.724999,-48.01,0.780493,-48.01,0.436207,-48.01,0.984088,-48.01,0.996132,-48.01,0.980197,-48.01,0.999662,-48.01,0.98992,-48.01,0.981645,-48.01,0.98738,-48.01,0.981301,-48.01,0.976534,-48.01,0.984722,-48.01,0.903358,-48.01,0.999652,-48.01,0.918268,-48.01,0.984328,-48.01,0.999677,-48.01,0.648833,-48.01,0.999544,-48.01,0.949531,-48.01,0.999194,-48.01,0.931054,-48.01,0.999787,-48.01,0.886558,-48.01,0.829042,-48.01,0.93017,-48.01,0.999676,-48.01,0.872137,-48.01,0.981691,-48.01,0.821735,-48.01,0.826334,-48.01,0.374396,-48.01,0.987541
-46.01,0.999966,-46.01,0.379707,-46.01,0.981627,-46.01,0.979621,-46.01,0.999918,-46.01,0.979668,-46.01,0.937979,-46.01,0.531855,-46.01,0.949278,-46.01,0.999991,-46.01,0.964732,-46.01,0.971156,-46.01,0.986228,-46.01,0.987025,-46.01,0.99944,-46.01,0.782363,-46.01,0.992921,-46.01,0.405736,-46.01,0.951315,-46.01,0.922926,-46.01,0.530453,-46.01,0.96222,-46.01,0.867002,-46.01,0.310362,-46.01,0.996196,-46.01,0.393832,-46.01,0.383666,-46.01,0.790159,-46.01,0.705211,-46.01,0.69842,-46.01,0.387124,-46.01,0.97096,-46.01,0.992869,-46.01,0.976729,-46.01,0.999419,-46.01,0.983552,-46.01,0.973718,-46.01,0.98237,-46.01,0.973934,-46.01,0.958355,-46.01,0.981541,-46.01,0.881271,-46.01,0.999409,-46.01,0.889701,-46.01,0.978321,-46.01,0.999512,-46.01,0.553722,-46.01,0.999217,-46.01,0.934164,-46.01,0.998624,-46.01,0.910071,-46.01,0.999761,-46.01,0.855756,-46.01,0.775813,-46.01,0.91175,-46.01,0.999511,-46.01,0.806501,-46.01,0.973784,-46.01,0.784885,-46.01,0.790159,-46.01,0.340007,-46.01,0.975342
-44.01,0.999886,-44.01,0.349459,-44.01,0.971785,-44.01,0.971672,-44.01,0.999664,-44.01,0.972894,-44.01,0.913145,-44.01,0.494427,-44.01,0.932748,-44.01,0.999961,-44.01,0.948367,-44.01,0.947763,-44.01,0.980056,-44.01,0.981052,-44.01,0.999102,-44.01,0.7421,-44.01,0.98694,-44.01,0.378317,-44.01,0.936569,-44.01,0.902986,-44.01,0.492933,-44.01,0.946126,-44.01,0.836864,-44.01,0.280083,-44.01,0.993135,-44.01,0.366475,-44.01,0.322781,-44.01,0.748934,-44.01,0.687551,-44.01,0.597381,-44.01,0.340992,-44.01,0.947451,-44.01,0.986857,-44.01,0.972049,-44.01,0.999003,-44.01,0.97397,-44.01,0.962414,-44.01,0.975419,-44.01,0.963784,-44.01,0.928024,-44.01,0.978185,-44.01,0.857863,-44.01,0.998992,-44.01,0.852858,-44.01,0.97014,-44.01,0.999261,-44.01,0.454744,-44.01,0.998656,-44.01,0.914562,-44.01,0.997657,-44.01,0.883573,-44.01,0.99971,-44.01,0.819493,-44.01,0.710891,-44.01,0.888196,-44.01,0.99926,-44.01,0.726512,-44.01,0.962512,-44.01,0.742882,-44.01,0.748934,-44.01,0.308214,-44.01,0.952678
-42.01,0.999703,-42.01,0.320037,-42.01,0.957503,-42.01,0.960728,-42.01,0.997867,-42.01,0.963951,-42.01,0.87977,-42.01,0.458215,-42.01,0.911405,-42.01,0.999883,-42.01,0.925066,-42.01,0.907401,-42.01,0.97104,-42.01,0.97264,-42.01,0.998573,-42.01,0.697497,-42.01,0.976082,-42.01,0.351406,-42.01,0.917127,-42.01,0.878772,-42.01,0.456641,-42.01,0.924409,-42.01,0.801366,-42.01,0.24764,-42.01,0.987556,-42.01,0.339592,-42.01,0.267812,-42.01,0.702881,-42.01,0.670869,-42.01,0.484118,-42.01,0.298824,-42.01,0.906918,-42.01,0.975951,-42.01,0.965641,-42.01,0.998288,-42.01,0.960701,-42.01,0.946396,-42.01,0.965823,-42.01,0.949915,-42.01,0.879366,-42.01,0.974591,-42.01,0.83422,-42.01,0.998277,-42.01,0.806568,-42.01,0.959106,-42.01,0.998881,-42.01,0.359537,-42.01,0.997695,-42.01,0.889842,-42.01,0.996028,-42.01,0.850632,-42.01,0.999612,-42.01,0.778629,-42.01,0.634722,-42.01,0.858698,-42.01,0.998878,-42.01,0.639544,-42.01,0.946547,-42.01,0.695934,-42.01,0.702881,-42.01,0.278938,-42.01,0.912457
-40.01,0.999318,-40.01,0.290311,-40.01,0.937292,-40.01,0.945779,-40.01,0.990983,-40.01,0.952205,-40.01,0.835971,-40.01,0.422755,-40.01,0.884271,-40.01,0.99971,-40.01,0.892577,-40.01,0.842342,-40.01,0.957918,-40.01,0.961015,-40.01,0.997748,-40.01,0.649095,-40.01,0.956977,-40.01,0.323102,-40.01,0.891505,-40.01,0.849823,-40.01,0.421112,-40.01,0.895565,-40.01,0.759887,-40.01,0.216028,-40.01,0.977403,-40.01,0.311254,-40.01,0.220278,-40.01,0.652567,-40.01,0.653425,-40.01,0.371141,-40.01,0.26136,-40.01,0.841618,-40.01,0.956788,-40.01,0.956782,-40.01,0.997065,-40.01,0.943357,-40.01,0.924014,-40.01,0.952661,-40.01,0.931178,-40.01,0.805766,-40.01,0.970593,-40.01,0.811122,-40.01,0.997053,-40.01,0.750252,-40.01,0.94442,-40.01,0.998302,-40.01,0.27464,-40.01,0.996053,-40.01,0.859113,-40.01,0.993307,-40.01,0.810464,-40.01,0.999425,-40.01,0.734666,-40.01,0.549524,-40.01,0.828188,-40.01,0.998297,-40.01,0.553417,-40.01,0.924248,-40.01,0.644598,-40.01,0.652567,-40.01,0.252003,-40.01,0.845831
-38.01,0.998546,-38.01,0.25883,-38.01,0.909602,-38.01,0.92554,-38.01,0.986198,-38.01,0.936888,-38.01,0.780271,-38.01,0.387495,-38.01,0.850442,-38.01,0.999347,-38.01,0.84858,-38.01,0.748051,-38.01,0.938984,-38.01,0.94529,-38.01,0.996467,-38.01,0.597733,-38.01,0.925122,-38.01,0.290923,-38.01,0.857966,-38.01,0.815851,-38.01,0.385793,-38.01,0.857822,-38.01,0.711662,-38.01,0.187338,-38.01,0.959166,-38.01,0.279091,-38.01,0.180801,-38.01,0.598918,-38.01,0.633661,-38.01,0.270937,-38.01,0.229009,-38.01,0.747021,-38.01,0.924916,-38.01,0.944452,-38.01,0.994975,-38.01,0.920966,-38.01,0.89341,-38.01,0.934769,-38.01,0.906227,-38.01,0.703577,-38.01,0.965936,-38.01,0.788852,-38.01,0.99496,-38.01,0.684318,-38.01,0.925215,-38.01,0.997419,-38.01,0.203899,-38.01,0.993279,-38.01,0.821588,-38.01,0.988814,-38.01,0.762618,-38.01,0.999066,-38.01,0.689234,-38.01,0.45949,-38.01,0.809987,-38.01,0.997412,-38.01,0.472932,-38.01,0.89377,-38.01,0.589788,-38.01,0.598918,-38.01,0.227102,-38.01,0.746285
-36.01,0.997034,-36.01,0.225011,-36.01,0.873196,-36.01,0.898495,-36.01,0.987638,-36.01,0.917092,-36.01,0.712217,-36.01,0.351912,-36.01,0.809264,-36.01,0.998612,-36.01,0.791288,-36.01,0.629569,-36.01,0.912084,-36.01,0.924524,-36.01,0.994487,-36.01,0.544511,-36.01,0.876039,-36.01,0.254307,-36.01,0.814709,-36.01,0.776848,-36.01,0.350158,-36.01,0.809369,-36.01,0.655761,-36.01,0.162059,-36.01,0.927461,-36.01,0.242986,-36.01,0.149122,-36.01,0.543175,-36.01,0.610904,-36.01,0.190316,-36.01,0.201828,-36.01,0.62819,-36.01,0.876079,-36.01,0.927222,-36.01,0.991416,-36.01,0.891479,-36.01,0.852695,-36.01,0.910755,-36.01,0.87362,-36.01,0.577219,-36.01,0.960294,-36.01,0.767207,-36.01,0.991398,-36.01,0.61044,-36.01,0.900656,-36.01,0.996071,-36.01,0.148209,-36.01,0.988678,-36.01,0.776746,-36.01,0.9815,-36.01,0.707192,-36.01,0.998378,-36.01,0.643549,-36.01,0.370303,-36.01,0.80027,-36.01,0.996061,-36.01,0.399497,-36.01,0.853231,-36.01,0.532746,-36.01,0.543175,-36.01,0.203815,-36.01,0.617537
-34.01,0.99412,-34.01,0.190953,-34.01,0.827673,-34.01,0.86299,-34.01,0.984543,-34.01,0.891811,-34.01,0.633036,-34.01,0.315623,-34.01,0.760559,-34.01,0.997154,-34.01,0.720381,-34.01,0.502716,-34.01,0.874769,-34.01,0.897808,-34.01,0.991442,-34.01,0.490712,-34.01,0.807647,-34.01,0.217167,-34.01,0.760208,-34.01,0.733178,-34.01,0.31382,-34.01,0.748833,-34.01,0.591399,-34.01,0.139953,-34.01,0.875687,-34.01,0.20697,-34.01,0.124325,-34.01,0.486804,-34.01,0.585556,-34.01,0.130544,-34.01,0.179563,-34.01,0.500984,-34.01,0.808767,-34.01,0.903135,-34.01,0.985395,-34.01,0.851378,-34.01,0.80023,-34.01,0.879072,-34.01,0.832001,-34.01,0.44151,-34.01,0.953261,-34.01,0.745591,-34.01,0.985371,-34.01,0.531561,-34.01,0.870119,-34.01,0.99401,-34.01,0.106292,-34.01,0.981235,-34.01,0.724527,-34.01,0.969785,-34.01,0.645016,-34.01,0.997048,-34.01,0.598112,-34.01,0.2879,-34.01,0.784317,-34.01,0.993995,-34.01,0.332799,-34.01,0.800994,-34.01,0.474937,-34.01,0.486804,-34.01,0.181841,-34.01,0.478113
-32.01,0.98858,-32.01,0.159717,-32.01,0.773891,-32.01,0.817475,-32.01,0.97357,-32.01,0.860004,-32.01,0.545989,-32.01,0.278483,-32.01,0.704835,-32.01,0.994301,-32.01,0.637934,-32.01,0.385406,-32.01,0.82473,-32.01,0.864397,-32.01,0.986783,-32.01,0.43768,-32.01,0.722226,-32.01,0.183599,-32.01,0.693648,-32.01,0.685641,-32.01,0.276627,-32.01,0.675931,-32.01,0.519055,-32.01,0.120623,-32.01,0.799225,-32.01,0.174683,-32.01,0.10516,-32.01,0.431344,-32.01,0.558765,-32.01,0.0892392,-32.01,0.161717,-32.01,0.383348,-32.01,0.726263,-32.01,0.869624,-32.01,0.975322,-32.01,0.799609,-32.01,0.735194,-32.01,0.838239,-32.01,0.780413,-32.01,0.316146,-32.01,0.944332,-32.01,0.723103,-32.01,0.97529,-32.01,0.451497,-32.01,0.833372,-32.01,0.990859,-32.01,0.0757948,-32.01,0.969489,-32.01,0.665516,-32.01,0.951399,-32.01,0.577731,-32.01,0.994467,-32.01,0.552701,-32.01,0.216927,-32.01,0.752467,-32.01,0.990835,-32.01,0.272365,-32.01,0.736237,-32.01,0.417908,-32.01,0.431344,-32.01,0.16133,-32.01,0.352183
